"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Advisor","0","Get advisor By ID","0","0","Unauthorized Access to Get advisor","0"
"0","Authentication","0","Log in","0","1","Login Invalid Password","0"
"1","Authentication","0","Change Password","0","0","Change Password with Invalid Auth Scheme","0"
"1","Authentication","0","Enable User","0","0","Enable User without Enable Field","0"
"1","Advisor","0","List Advisors","0","0","List Advisors with Missing Authorization Header","0"
"0","Advisor","0","Find advisor By Email","0","1","Find advisor by Invalid Email Format","0"
"1","Advisor","0","Crate advisor Account","0","0","Post advisor Without Profile Picture","0"
"0","Advisor","0","Find advisor By Email","0","1","Find advisor by Email with Invalid Content-Type Header","0"
"1","Advisor","0","Update advisor","0","0","Update advisor with Empty Address","0"
"1","Authentication","0","Enable User","0","0","Enable User with Valid Email and Enable True","0"
"1","Advisor","0","Update advisor","0","0","Update advisor with Updated Address Only","0"
"0","Advisor","0","Crate advisor Account","0","1","Post advisor With Minimum Valid Fields","0"
"1","Advisor","0","Update advisor","0","0","Update advisor with Valid Data","0"
"0","Authentication","0","Change Password","0","1","Change Password with Empty Username","0"
"1","Advisor","0","Find advisor By Email","0","0","Find advisor by Email with Uppercase Domain","0"
"1","Advisor","0","Crate advisor Account","0","0","Post advisor Invalid Birth Date Format","0"
"0","Advisor","0","Get advisor By ID","0","1","Get advisor by Negative ID","0"
"1","Authentication","0","Reset Password","0","0","Reset Password with Empty Email","0"
"1","Authentication","0","Change Password","0","0","Change Password with Incorrect HTTP Method","0"
"1","Advisor","0","Get advisor By ID","0","0","Get advisor by Non-Numeric ID","0"
"1","Authentication","0","Change Password","0","0","Change Password with Empty Confirm Password","0"
"1","Advisor","0","Get advisor By ID","0","0","Find advisor by ID with Missing Authorization Header","0"
"1","Advisor","0","Get advisor By ID","0","0","Get advisor by Valid ID","0"
"1","Advisor","0","Crate advisor Account","0","0","Post advisor Without First Name","0"
"1","Advisor","0","List Advisors","0","0","Search Advisors with No Results","0"
"1","Authentication","0","Change Password","0","0","Change Password with Non-Matching Passwords","0"
"1","Advisor","0","Crate advisor Account","0","0","Post advisor Duplicate Email","0"
"1","Authentication","0","Log in","0","0","Login Empty Password","0"
"1","Authentication","0","Log in","0","0","Login Mismatched Passwords","0"
"1","Advisor","0","Update advisor","0","0","Update advisor with Empty FanPageUrl","0"
"0","Advisor","0","Get advisor By ID","0","1","Get advisor by Non-Existent ID","0"
"1","Advisor","0","Find advisor By Email","0","0","Find advisor by Valid Email","0"
"0","Authentication","0","Enable User","0","1","Enable User with Unregistered Email","0"
"1","Advisor","0","List Advisors","0","0","Unauthorized Access","0"
"1","Advisor","0","Crate advisor Account","0","0","Post advisor With CellPhone Less Than 8 Digits","0"
"1","Advisor","0","Update advisor","0","0","Update advisor with Empty Last Name","0"
"1","Authentication","0","Enable User","0","0","Enable User with Invalid Authentication Token","0"
"0","Advisor","0","Crate advisor Account","0","1","Post advisor Without Email","0"
