"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","test_find_advisor_by_valid_email","tests.advisor","Mon Jan 06 12:35:29 GMT 2025","broken","Mon Jan 06 12:35:29 GMT 2025","","Find advisor By Email","",""
"","5","test_post_advisor_invalid_profile_picture","tests.advisor","Mon Jan 06 12:35:36 GMT 2025","broken","Mon Jan 06 12:35:36 GMT 2025","","Crate advisor Account","",""
"","6","test_patch_advisor_with_only_cellphone","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Update advisor","",""
"","5","test_enable_user_without_enable_field","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","broken","Mon Jan 06 12:35:37 GMT 2025","","Enable User","",""
"","6","test_list_advisors_search_by_ci","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","broken","Mon Jan 06 12:35:31 GMT 2025","","List Advisors","",""
"","5","test_find_advisor_by_id_invalid_content_type","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","skipped","Mon Jan 06 12:35:31 GMT 2025","","Get advisor By ID","",""
"","4","test_reset_password_with_empty_email","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Reset Password","",""
"","5","test_patch_advisor_with_empty_ci","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","Update advisor","",""
"","5","test_change_password_with_incorrect_old_password","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","broken","Mon Jan 06 12:35:37 GMT 2025","","Change Password","",""
"","5","test_find_advisor_by_email_with_uppercase_domain","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Find advisor By Email","",""
"","5","test_smoke_list_all_advisors","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","broken","Mon Jan 06 12:35:31 GMT 2025","","List Advisors","",""
"","20","test_find_advisor_by_invalid_email_format","tests.advisor","Mon Jan 06 12:35:29 GMT 2025","skipped","Mon Jan 06 12:35:29 GMT 2025","","Find advisor By Email","",""
"","7","test_post_advisor_without_fanpage","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","skipped","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","4","test_patch_advisor_with_only_last_name","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","broken","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","5","test_smoke_list_advisors_search_by_name","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","broken","Mon Jan 06 12:35:31 GMT 2025","","List Advisors","",""
"","5","test_enable_user_without_authentication_token","tests.authentication","Mon Jan 06 12:35:38 GMT 2025","broken","Mon Jan 06 12:35:38 GMT 2025","","Enable User","",""
"","14","test_reset_password_with_invalid_authentication_token","tests.authentication","Mon Jan 06 12:35:40 GMT 2025","broken","Mon Jan 06 12:35:40 GMT 2025","","Reset Password","",""
"","10","test_get_login_invalid_username","tests.authentication","Mon Jan 06 12:35:38 GMT 2025","skipped","Mon Jan 06 12:35:38 GMT 2025","","Log in","",""
"","5","test_find_advisor_by_email_missing_auth_header","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Find advisor By Email","",""
"","0","test_post_advisor_all_fields_valid","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","skipped","Mon Jan 06 12:35:34 GMT 2025","","Crate advisor Account","",""
"","18","test_post_advisor_future_birthdate","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Crate advisor Account","",""
"","23","test_find_advisor_without_authentication","tests.advisor","Mon Jan 06 12:35:29 GMT 2025","broken","Mon Jan 06 12:35:29 GMT 2025","","Find advisor By Email","",""
"","5","test_list_advisors_invalid_content_type","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","skipped","Mon Jan 06 12:35:32 GMT 2025","","List Advisors","",""
"","5","test_patch_advisor_with_empty_first_name","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","Update advisor","",""
"","4","test_list_advisors_search_special_characters","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","List Advisors","",""
"","5","test_change_password_with_empty_password","tests.authentication","Mon Jan 06 12:35:36 GMT 2025","broken","Mon Jan 06 12:35:36 GMT 2025","","Change Password","",""
"","5","test_list_advisors_search_no_results","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","List Advisors","",""
"","5","test_find_advisor_by_email_missing_accept_header","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Find advisor By Email","",""
"","21","test_find_advisor_by_email_with_spaces","tests.advisor","Mon Jan 06 12:35:29 GMT 2025","broken","Mon Jan 06 12:35:29 GMT 2025","","Find advisor By Email","",""
"","5","test_list_advisors_unauthorized_access","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","broken","Mon Jan 06 12:35:31 GMT 2025","","List Advisors","",""
"","5","test_get_advisor_by_zero_id","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","skipped","Mon Jan 06 12:35:31 GMT 2025","","Get advisor By ID","",""
"","6","test_find_advisor_by_non_existent_email","tests.advisor","Mon Jan 06 12:35:29 GMT 2025","skipped","Mon Jan 06 12:35:29 GMT 2025","","Find advisor By Email","",""
"","5","test_get_login_valid_username_empty_password","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Log in","",""
"","5","test_change_password_without_token","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","broken","Mon Jan 06 12:35:37 GMT 2025","","Change Password","",""
"","12","test_find_advisor_by_empty_email","tests.advisor","Mon Jan 06 12:35:29 GMT 2025","broken","Mon Jan 06 12:35:29 GMT 2025","","Find advisor By Email","",""
"","5","test_change_password_with_incorrect_http_method","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","broken","Mon Jan 06 12:35:37 GMT 2025","","Change Password","",""
"","6","test_patch_advisor_with_invalid_ci_length","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","skipped","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","4","test_list_advisors_search_by_name","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","broken","Mon Jan 06 12:35:31 GMT 2025","","List Advisors","",""
"","5","test_patch_advisor_with_valid_data","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","Update advisor","",""
"","5","test_find_advisor_by_id_missing_accept_header","tests.advisor","Mon Jan 06 12:35:31 GMT 2025","broken","Mon Jan 06 12:35:31 GMT 2025","","Get advisor By ID","",""
"","5","test_enable_user_with_invalid_authentication_token","tests.authentication","Mon Jan 06 12:35:38 GMT 2025","broken","Mon Jan 06 12:35:38 GMT 2025","","Enable User","",""
"","5","test_post_advisor_without_profile_picture","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","broken","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","4","test_get_login_empty_username_valid_password","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","skipped","Mon Jan 06 12:35:39 GMT 2025","","Log in","",""
"","6","test_get_advisor_without_authentication","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Get advisor By ID","",""
"","5","test_change_password_with_non_matching_passwords","tests.authentication","Mon Jan 06 12:35:36 GMT 2025","broken","Mon Jan 06 12:35:36 GMT 2025","","Change Password","",""
"","5","test_enable_user_with_unregistered_email","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","skipped","Mon Jan 06 12:35:38 GMT 2025","","Enable User","",""
"","5","test_reset_password_with_invalid_email_format","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Reset Password","",""
"","7","test_change_password_with_empty_username","tests.authentication","Mon Jan 06 12:35:36 GMT 2025","skipped","Mon Jan 06 12:35:36 GMT 2025","","Change Password","",""
"","12","test_reset_password_without_authentication_token","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Reset Password","",""
"","5","test_patch_advisor_without_authentication","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","broken","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","4","test_reset_password_with_unregistered_email","tests.authentication","Mon Jan 06 12:35:40 GMT 2025","broken","Mon Jan 06 12:35:40 GMT 2025","","Reset Password","",""
"","5","test_get_advisor_by_valid_id","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Get advisor By ID","",""
"","5","test_patch_advisor_with_only_fanpage","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Update advisor","",""
"","5","test_post_advisor_with_future_birthdate","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","broken","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","4","test_list_advisors_missing_accept_header","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","List Advisors","",""
"","4","test_get_login_missing_confirm_password","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Log in","",""
"","5","test_patch_advisor_with_invalid_auth_token","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","broken","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","5","test_reset_password_with_empty_password","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Reset Password","",""
"","6","test_enable_user_with_empty_email","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","broken","Mon Jan 06 12:35:37 GMT 2025","","Enable User","",""
"","5","test_post_advisor_with_short_cellphone","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","broken","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","5","test_patch_advisor_with_empty_payload","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Update advisor","",""
"","5","test_post_advisor_with_empty_fields","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Crate advisor Account","",""
"","6","test_get_login_invalid_password","tests.authentication","Mon Jan 06 12:35:38 GMT 2025","skipped","Mon Jan 06 12:35:38 GMT 2025","","Log in","",""
"","5","test_find_advisor_by_email_invalid_content_type","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","skipped","Mon Jan 06 12:35:30 GMT 2025","","Find advisor By Email","",""
"","5","test_patch_advisor_with_invalid_cellphone_format","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","skipped","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
